ASSIGNMENT_ID,EVENT_DATE,Division,EMP_FULL_NAME,Title,External_Title,Location_Country,EVENT_TYPE_CODE,EVENT_TYPE_NAME,EVENT_REASON_CODE,INTERNAL_TRANSFER_IND,CUMULATIVE_TRANSFERS,TRANSFER_SALARY_IMPACT,NGB_ANN_BASE_CHANGE_FLG,CURRENCY_CODE,CURRENCY_CHANGE_FLAG,PREV_CURRENCY_CODE,CURRENCY_CHANGED_FLAG,ANNUAL_SALARY,PREV_SAL_YEAR,PREVIOUS_SALARY,PAY_PERCENTILE,IS_UNDERPAID,SALARY_CHANGE_RATE,HIKE_AMT,MEAN_HIKE,MEAN_HIKE_PERCENTAGE,PAY_GROWTH_TREND,MEAN_SALARY,GENDER_CODE,AGE,TIME_IN_FIRM,TENURE_BUCKET,LAST_PROMOTION_DT,YEARS_SINCE_LAST_PROMOTION,HAS_RECENT_PROMOTION,IS_STAGNANT_EMPLOYEE,AVG_PROMOTION_RATE,AVG_SUP_CHANGE_RATE,YEARS_SINCE_LAST_MANAGER_CHANGE,AVG_YEARS_BETWEEN_PROMOTIONS,ATTRITION_RISK
200000052,05/25/2022,HR,Brian Wong,Manager,Manager,JPN,TER,Transfer,TRANS:PROMO,N,2,Low,N,JPY,N,JPY,N,80811,2024,70649,99,1,14.38,10162,10162,14.38,Rapid Growth,80811,F,29,18,10+ years,UNKNOWN,4,0,0,0.31,0.46,1,1.2,1
200000053,12/02/2022,Finance,Valerie Nguyen,Director,Director,USA,TRANS,Termination,PROMO:NEW,N,3,Not Applicable,N,AUD,N,AUD,N,128542,2024,110523,92,0,16.3,18019,18019,16.3,Moderate Growth,128542,F,56,4,2-5 years,2023-02-07,0,1,0,0.03,0.45,1,4.2,0
200000054,02/18/2021,Operations,Stacey Baker,VP,VP,USA,PROMO,Transfer,PROMO:REO,N,1,Not Applicable,N,USD,Y,AED,N,168734,2024,140797,73,0,19.84,27937,27937,19.84,Moderate Growth,168734,M,35,13,10+ years,2024-11-22,3,0,1,0.23,0.27,4,3.7,1
200000055,06/09/2022,Technology,Steven Phillips,Senior Analyst,Senior Analyst,USA,TRANS,Promotion,TRANS:NEW,N,1,Not Applicable,N,JPY,N,USD,Y,63256,2024,58465,18,0,8.19,4791,4791,8.19,Moderate Growth,63256,F,38,16,10+ years,2024-03-08,4,1,1,0.18,0.27,8,4.7,1
200000056,04/25/2021,Operations,Miss Alexandra Kelly,Manager,Manager,JPN,HIRE,Transfer,TRANS:REO,N,5,Low,N,AUD,N,SGD,N,92966,2024,77836,29,0,19.44,15130,15130,19.44,Stable,92966,O,57,2,0-2 years,UNKNOWN,0,0,1,0.4,0.18,0,1.9,0
200000057,09/10/2023,Geography,Diana Scott,Senior Analyst,Senior Analyst,USA,TRANS,New Hire,TER:PROMO,N,2,Medium,N,AUD,N,SGD,N,58065,2024,46928,77,1,23.73,11137,11137,23.73,Stable,58065,F,61,3,2-5 years,2023-12-08,0,0,0,0.27,0.29,6,4.1,0
200000058,10/27/2022,HR,Matthew Parrish,Senior Analyst,Senior Analyst,USA,HIRE,Transfer,TER:NEW,Y,2,Not Applicable,N,USD,Y,JPY,N,67067,2024,59333,45,0,13.03,7734,7734,13.03,Stable,67067,M,25,15,10+ years,UNKNOWN,0,0,0,0.36,0.19,10,4.3,1
200000059,04/24/2024,Marketing,Lauren Sharp,Analyst,Analyst,GBR,HIRE,New Hire,TRANS:PROMO,Y,4,Low,Y,SGD,N,JPY,N,47093,2024,39916,84,1,17.98,7177,7177,17.98,Moderate Growth,47093,M,23,15,10+ years,2024-10-05,1,0,0,0.42,0.22,7,4.5,0
200000060,07/24/2023,Marketing,Theresa Scott,Senior Analyst,Senior Analyst,JPN,HIRE,Transfer,TER:REO,N,5,Low,N,AUD,N,INR,N,57052,2024,51738,83,0,10.27,5314,5314,10.27,Stable,57052,F,27,20,10+ years,2024-02-23,4,1,1,0.26,0.0,10,4.0,1
200000061,11/03/2021,Geography,Lindsey Harris,Manager,Manager,USA,TER,New Hire,HIRE:REO,N,2,Not Applicable,N,INR,N,INR,N,84965,2024,69002,58,1,23.13,15963,15963,23.13,Rapid Growth,84965,F,63,3,2-5 years,2023-04-12,0,1,0,0.14,0.15,9,3.5,1
200000062,08/10/2023,Geography,Frederick Harris,Senior Analyst,Senior Analyst,GBR,HIRE,Promotion,PROMO:PROMO,N,4,Not Applicable,N,GBP,Y,SGD,N,60933,2024,57578,63,1,5.83,3355,3355,5.83,Stable,60933,O,25,18,10+ years,2024-02-06,1,0,0,0.28,0.09,1,3.0,0
200000063,06/24/2023,Marketing,Shannon Foster,Director,Director,USA,TRANS,Promotion,TER:NEW,N,1,Low,Y,JPY,N,AUD,N,125564,2024,103970,83,0,20.77,21594,21594,20.77,Stable,125564,F,50,16,10+ years,2022-09-09,0,0,0,0.41,0.31,7,2.7,0
200000064,03/28/2022,Geography,Nicholas Hamilton,Senior Analyst,Senior Analyst,GBR,TRANS,Transfer,TER:PROMO,N,5,Not Applicable,N,USD,N,USD,N,53250,2024,45451,97,1,17.16,7799,7799,17.16,Moderate Growth,53250,M,39,12,10+ years,2023-01-09,0,0,0,0.35,0.42,6,1.8,0
200000065,09/23/2022,Marketing,John Crawford,Analyst,Analyst,USA,TRANS,Promotion,PROMO:NEW,Y,2,Not Applicable,N,SGD,N,USD,N,36258,2024,31622,15,0,14.66,4636,4636,14.66,Moderate Growth,36258,M,47,0,0-2 years,2023-12-27,3,0,0,0.39,0.06,9,3.7,1
200000066,01/23/2021,Geography,Robert Thompson,Director,Director,GBR,TRANS,Termination,HIRE:REO,N,2,Not Applicable,N,INR,N,AED,N,116062,2024,108345,34,0,7.12,7717,7717,7.12,Moderate Growth,116062,M,65,11,10+ years,UNKNOWN,0,0,0,0.18,0.14,5,1.1,1
200000067,11/29/2021,Marketing,Terri White,Manager,Manager,GBR,TRANS,Transfer,PROMO:NEW,N,3,Low,N,JPY,N,INR,N,84661,2024,76904,36,0,10.09,7757,7757,10.09,Stable,84661,F,55,3,2-5 years,UNKNOWN,0,1,0,0.36,0.47,8,1.2,1
200000068,12/31/2024,Technology,Eric Mcclure,Analyst,Analyst,USA,TRANS,New Hire,PROMO:TRANS,Y,4,Not Applicable,N,USD,N,INR,N,48572,2024,39912,82,0,21.7,8660,8660,21.7,Moderate Growth,48572,M,31,10,8-10 years,2023-06-30,0,0,0,0.06,0.02,10,2.7,1
200000069,07/16/2022,Geography,Melissa Lopez,Senior Analyst,Senior Analyst,USA,TRANS,New Hire,TRANS:REO,Y,4,Not Applicable,Y,GBP,N,AUD,N,57711,2024,49965,80,0,15.5,7746,7746,15.5,Rapid Growth,57711,M,57,4,2-5 years,UNKNOWN,2,1,1,0.22,0.41,1,1.0,0
200000070,11/05/2021,Marketing,Jeffery Gibson,Senior Analyst,Senior Analyst,USA,TRANS,Transfer,PROMO:REO,N,5,Not Applicable,N,AUD,N,GBP,N,62086,2024,54724,54,1,13.45,7362,7362,13.45,Declining,62086,M,35,1,0-2 years,UNKNOWN,0,0,0,0.49,0.43,7,4.3,1
200000071,05/22/2024,Geography,Jennifer Ramsey,VP,VP,USA,HIRE,New Hire,HIRE:PROMO,Y,2,Medium,Y,AUD,N,AUD,N,173016,2024,156634,15,1,10.46,16382,16382,10.46,Moderate Growth,173016,M,52,16,10+ years,2024-01-21,0,0,0,0.41,0.16,8,1.6,1
200000072,09/07/2023,Marketing,Paul Smith,Manager,Manager,USA,HIRE,Transfer,TRANS:NEW,N,1,Not Applicable,Y,USD,Y,AED,N,76504,2024,67765,68,0,12.9,8739,8739,12.9,Declining,76504,M,36,7,5-8 years,2024-08-22,3,1,0,0.39,0.33,8,1.6,1
200000073,10/02/2022,Marketing,James Rodriguez,Analyst,Analyst,USA,TRANS,Termination,TER:PROMO,N,2,Not Applicable,Y,JPY,N,INR,N,44320,2024,38496,92,0,15.13,5824,5824,15.13,Rapid Growth,44320,M,29,5,2-5 years,2024-07-14,3,0,0,0.44,0.06,0,3.9,1
200000074,03/12/2025,Operations,Ronald Michael,Senior Analyst,Senior Analyst,USA,HIRE,New Hire,TRANS:TRANS,N,4,Low,N,SGD,N,SGD,N,72097,2024,65956,20,1,9.31,6141,6141,9.31,Rapid Growth,72097,M,35,20,10+ years,2023-04-05,0,0,0,0.27,0.31,2,2.3,0
200000075,04/29/2022,Operations,Randy Adams,Director,Director,USA,HIRE,New Hire,TER:PROMO,N,5,Not Applicable,N,JPY,N,INR,N,116446,2024,99760,60,1,16.73,16686,16686,16.73,Rapid Growth,116446,M,44,8,5-8 years,2023-01-27,0,0,1,0.25,0.11,9,1.2,1
200000076,03/20/2023,HR,Linda Sparks,Manager,Manager,ARE,TRANS,Transfer,HIRE:NEW,N,3,Low,N,AED,N,USD,Y,80916,2024,76714,69,1,5.48,4202,4202,5.48,Declining,80916,M,61,12,10+ years,2022-09-19,5,0,0,0.47,0.48,3,1.8,1
200000077,12/06/2020,Geography,Rickey Daniels,Director,Director,ARE,TRANS,Transfer,PROMO:REO,N,4,Not Applicable,N,USD,N,AED,Y,122605,2024,115514,47,0,6.14,7091,7091,6.14,Rapid Growth,122605,M,42,10,8-10 years,2025-02-02,0,1,0,0.11,0.05,0,4.4,0
200000078,05/28/2022,Technology,Sarah Miller,Analyst,Analyst,USA,TRANS,New Hire,PROMO:NEW,N,5,Medium,N,JPY,N,JPY,N,42351,2024,38374,38,1,10.36,3977,3977,10.36,Stable,42351,M,37,15,10+ years,UNKNOWN,0,0,0,0.19,0.24,8,1.3,1
200000079,09/23/2020,Finance,Peter Stafford,Director,Director,GBR,TRANS,New Hire,TER:NEW,N,1,Not Applicable,N,JPY,Y,USD,Y,125379,2024,116902,74,0,7.25,8477,8477,7.25,Declining,125379,F,39,15,10+ years,UNKNOWN,2,1,0,0.36,0.37,4,2.3,1
200000080,02/21/2023,Finance,Elizabeth Mendoza,Director,Director,AUS,TRANS,Transfer,TER:REO,N,1,Not Applicable,N,SGD,N,AED,N,132375,2024,113706,58,1,16.42,18669,18669,16.42,Moderate Growth,132375,M,45,1,0-2 years,2023-02-02,4,0,0,0.22,0.29,3,1.5,0
200000081,11/14/2023,Operations,Joshua Adams,Manager,Manager,GBR,PROMO,Transfer,PROMO:REO,N,3,Not Applicable,N,INR,N,GBP,N,85374,2024,75745,81,0,12.71,9629,9629,12.71,Moderate Growth,85374,M,47,9,8-10 years,UNKNOWN,2,1,0,0.11,0.02,10,1.2,1
